3040100,Four Christmases,Comedy,80000000,48165518,2008-11-26
3050100,The Mask,Comedy,18000000,231700000,1994-07-29
3060100,I Now Pronounce You Chuck and Larry,Comedy,85000000,65983182,2007-07-20
3080100,Walk the Line,Drama,29000000,68188093,2005-11-18
3100100,Total Recall,Action,65000000,142005161,1990-06-01
3120100,Fahrenheit 9/11,Documentary,6000000,102034442,2004-06-23
3130100,Hairspray,Musical,75000000,83951012,2007-07-20
3140100,The Break-Up,Romantic Comedy,52000000,87024032,2006-06-02
3150100,Lemony Snicket's A Series of Unfortunate Events,Adventure,100000000,94328907,2004-12-17
3160100,Blades of Glory,Comedy,61000000,27000000,2007-03-30
3170100,The Sum of All Fears,Action,68000000,75028680,2002-05-31
3180100,Back to the Future Part II,Adventure,40000000,213521879,1989-11-22
3200100,Big Momma's House,Comedy,33000000,56000000,2000-06-02
3210100,Die Hard 2,Action,70000000,122490010,1990-07-03
3220100,Rocky,Drama,1000000,107764853,1976-11-21
3230100,G-Force,Adventure,150000000,173381071,2009-07-24
3240100,Ocean's Thirteen,Adventure,85000000,194600000,2007-06-08
3250100,S.W.A.T.,Action,70000000,90277151,2003-08-08
3260100,Double Jeopardy,Action,40000000,61100000,1999-09-24
3270100,8 Mile,Drama,41000000,129044309,2002-11-08
3280100,Notting Hill,Romantic Comedy,42000000,247628518,1999-05-28
3300100,You’ve Got Mail,Drama,65000000,134978505,1998-12-18
3310100,Ghost Rider,Action,120000000,113742993,2007-02-16
3320100,Remember the Titans,Drama,30000000,21051932,2000-09-29
3340100,American Graffiti,Drama,777000,25000000,1973-08-11
3360100,Dodgeball: A True Underdog Story,Comedy,30000000,53464968,2004-06-18
3370100,The Village,Thriller/Suspense,71682975,143444114,2004-07-30
3380100,Bolt,Adventure,150000000,213961450,2008-11-21
3390100,Wild Wild West,Adventure,175000000,107423654,1999-06-30
3410100,The Patriot,Drama,110000000,101969658,2000-06-28
3420100,The Pacifier,Comedy,56000000,85000000,2005-03-04
3430100,Dr. Dolittle 2,Adventure,72000000,63151000,2001-06-22
3440100,Spy Kids,Adventure,35000000,85000000,2001-03-30
3460100,District 9,Thriller/Suspense,30000000,96807196,2009-08-14
3470100,Face/Off,Action,80000000,128923854,1997-06-27
3490100,Spy Kids 3-D: Game Over,Adventure,40000000,56091364,2003-07-25
3500100,Inglourious Basterds,Action,70000000,196140670,2009-08-21
3510100,Doctor Zhivago,Drama,11000000,142558,1965-12-22
3520100,Enemy of the State,Action,85000000,139100000,1998-11-20
3530100,The Little Mermaid,Adventure,0,110756279,1989-11-15
3540100,The Last Samurai,Action,140000000,345700000,2003-12-05
3550100,Fun With Dick And Jane,Comedy,140000000,92468919,2005-12-21
3560100,Tropic Thunder,Comedy,90000000,80629943,2008-08-13
3570100,The Grudge,Horror,10000000,76921753,2004-10-22
3580100,Freaky Friday,Comedy,26000000,50600000,2003-08-06
3590100,Bedtime Stories,Adventure,80000000,111366960,2008-12-25
3600100,Scary Movie 3,Comedy,45000000,45199918,2003-10-24
3630100,The 40 Year-old Virgin,Comedy,26000000,66827602,2005-08-19
3650100,One Flew Over the Cuckoo's Nest,Drama,4400000,54300000,1975-11-19
3670100,Black Hawk Down,Action,95000000,51052340,2001-12-28
3700100,The Princess Diaries,Comedy,30000000,57090000,2001-08-03
3720100,Pulp Fiction,Drama,8000000,104966084,1994-09-10
3740100,Watchmen,Action,138000000,79466451,2009-03-06
3760100,Analyze This,Comedy,30000000,70000000,1999-03-05
3770100,Miss Congeniality,Comedy,45000000,106613284,2000-12-22
3780100,Chicken Run,Adventure,42000000,121000000,2000-06-21
3810100,Goldeneye,Action,60000000,250000000,1995-11-17
3840100,The Italian Job,Adventure,60000000,70136827,2003-05-30
3850100,How to Lose a Guy in 10 Days,Romantic Comedy,50000000,72696268,2003-02-07
3860100,The First Wives Club,Comedy,30000000,76000000,1996-09-20
3880100,George Of The Jungle,Adventure,55000000,69200000,1997-07-16
3890100,Phenomenon,Drama,32000000,47400000,1996-07-05
3900100,The Graduate,Comedy,0,69731,1967-12-21
3910100,American Wedding,Comedy,55000000,128000000,2003-08-01
3930100,Daddy Day Care,Comedy,60000000,60136806,2003-05-09
3940100,Road to Perdition,Drama,80000000,79300000,2002-07-12
3960100,Dreamgirls,Musical,75000000,52342739,2006-12-15
3970100,Nine to Five,Comedy,0,9647,1980-12-19
3980100,Scream,Horror,15000000,70000000,1996-12-20
4010100,The General's Daughter,Drama,60000000,47000000,1999-06-18
4020100,The Aviator,Drama,110000000,105762065,2004-12-17
4030100,Daredevil,Action,80000000,80239000,2003-02-14
4040100,The Mummy: Tomb of the Dragon Emperor,Adventure,175000000,303268449,2008-08-01
4050100,Butch Cassidy and the Sundance Kid,Western,6000000,1811,1969-10-24
4060100,Mary Poppins,Musical,6000000,24309,1964-08-26
4080100,American Pie,Comedy,12000000,132922200,1999-07-09
4090100,Journey to the Center of the Earth,Adventure,45000000,141476567,2008-07-11
4100100,Gone in 60 Seconds,Action,103300000,131000000,2000-06-09
4130100,Eagle Eye,Thriller/Suspense,80000000,79144516,2008-09-26
4140100,The Prince of Egypt,Adventure,60000000,117200000,1998-12-18
4150100,Scream 2,Horror,24000000,71000000,1997-12-12
4190100,Con Air,Action,80000000,123000000,1997-06-06
4200100,Sleepy Hollow,Horror,70000000,106000000,1999-11-19
4210100,The Cat in the Hat,Adventure,109000000,32800000,2003-11-21
4220100,Contact,Drama,90000000,64979671,1997-07-11
4230100,Charlie's Angels: Full Throttle,Action,120000000,126348945,2003-06-27
4250100,Vanilla Sky,Thriller/Suspense,70000000,102111747,2001-12-14
4260100,The Rugrats Movie,Adventure,28000000,40400000,1998-11-20
4270100,Million Dollar Baby,Drama,30000000,131436024,2004-12-15
4290100,Step Brothers,Comedy,65000000,27638849,2008-07-25
4300100,Jumanji,Adventure,65000000,162300000,1995-12-15
4320100,Shakespeare in Love,Romantic Comedy,26000000,179182206,1998-12-11
4330100,Evan Almighty,Comedy,175000000,73841639,2007-06-22
4340100,Collateral,Action,60000000,117432815,2004-08-06
4350100,The Hunchback of Notre Dame,Adventure,100000000,225361149,1996-06-21
4360100,Se7en,Thriller/Suspense,30000000,228000000,1995-09-22
4380100,You Don't Mess With the Zohan,Comedy,90000000,102892154,2008-06-06
4400100,Hercules,Adventure,70000000,151587899,1997-06-13
4430100,Meet the Robinsons,Adventure,0,72730548,2007-03-30
4440100,Yes Man,Comedy,50000000,128300000,2008-12-19
4450100,Inspector Gadget,Adventure,75000000,0,1999-07-23
4460100,Public Enemies,Drama,102500000,115178089,2009-07-01
4470100,The Others,Horror,17000000,111242369,2001-08-10
4480100,Legally Blonde,Comedy,18000000,45315809,2001-07-13
4490100,Schindler’s List,Drama,25000000,225298314,1993-12-15
4500100,Dead Poets Society,Drama,16400000,143639884,1989-06-02
4510100,Norbit,Comedy,0,63300000,2007-02-09
4520100,Cold Mountain,Drama,80000000,69541295,2003-12-25
4530100,Michael,Comedy,0,24400000,1996-12-25
4540100,Panic Room,Thriller/Suspense,48000000,101000000,2002-03-29
4550100,The Princess Diaries 2: Royal Engagement,Romantic Comedy,45000000,26922000,2004-08-11
4560100,Unbreakable,Thriller/Suspense,73243106,153100000,2000-11-22
4580100,Beverly Hills Chihuahua,Adventure,20000000,59703766,2008-10-03
4590100,He's Just Not That Into You,Romantic Comedy,40000000,87100004,2009-02-06
4600100,Maid in Manhattan,Romantic Comedy,55000000,69905321,2002-12-13
4610100,Master and Commander: The Far Side of the World,Adventure,135000000,118985751,2003-11-14
4620100,The Mask of Zorro,Adventure,65000000,139871255,1998-07-17
4630100,America's Sweethearts,Romantic Comedy,46000000,67040820,2001-07-20
4660100,The Bucket List,Comedy,45000000,81340943,2007-12-25
4670100,Cats & Dogs,Comedy,60000000,107324849,2001-07-04
4680100,Two Weeks Notice,Romantic Comedy,60000000,105688391,2002-12-20
4700100,Flubber,Comedy,80000000,85000000,1997-11-26
4710100,Red Dragon,Thriller/Suspense,78000000,113500000,2002-10-04
4720100,When Harry Met Sally…,Romantic Comedy,16000000,175854,1989-07-14
4740100,Star Trek: First Contact,Adventure,46000000,57972112,1996-11-22
4780100,The Haunting,Horror,80000000,89000000,1999-07-23
4790100,Stepmom,Drama,50000000,68607617,1998-12-25
4800100,Save the Last Dance,Drama,13000000,31206053,2001-01-12
4810100,The Karate Kid,Action,8000000,42065,1984-06-22
4830100,Scary Movie 4,Comedy,40000000,88000000,2006-04-14
4840100,The Game Plan,Comedy,22000000,55942785,2007-09-28
4850100,"Legally Blonde 2: Red, White & Blonde",Comedy,25000000,34700000,2003-07-02
4860100,The Scorpion King,Action,60000000,75310634,2002-04-18
4870100,"Me, Myself & Irene",Romantic Comedy,51000000,58700000,2000-06-23
4880100,High School Musical 3: Senior Year,Musical,11000000,183833464,2008-10-24
4890100,Madea Goes To Jail,Comedy,17500000,0,2009-02-20
4910100,Space Jam,Adventure,80000000,159716850,1996-11-15
4920100,Space Cowboys,Adventure,65000000,38420000,2000-08-04
4940100,Mystic River,Drama,30000000,66686829,2003-10-08
4950100,Flightplan,Thriller/Suspense,55000000,124685916,2005-09-23
4960100,Julie & Julia,Comedy,40000000,37390752,2009-08-07
4980100,The Emperor's New Groove,Adventure,100000000,80000000,2000-12-15
4990100,Scream 3,Horror,40000000,72700000,2000-02-04
5010100,Failure to Launch,Romantic Comedy,50000000,39687709,2006-03-10
5020100,Inside Man,Thriller/Suspense,50000000,97164028,2006-03-24
5030100,The Ugly Truth,Romantic Comedy,38000000,116383693,2009-07-24
5050100,Starsky & Hutch,Comedy,60000000,82000000,2004-03-05
5080100,Entrapment,Thriller/Suspense,66000000,123992604,1999-04-30
5090100,Back to the Future Part III,Adventure,40000000,156031985,1990-05-24
5110100,Pineapple Express,Comedy,26000000,15062639,2008-08-06
5120100,Everest,Documentary,0,40811529,1998-03-06
5130100,Saw II,Horror,5000000,65900000,2005-10-28
5180100,Young Frankenstein,Comedy,2800000,489,1974-12-15
5190100,Mean Girls,Comedy,18000000,44667242,2004-04-30
5200100,Spy Kids 2: The Island of Lost Dreams,Adventure,38000000,33875000,2002-08-07
5210100,Pokemon: The First Movie,Adventure,30000000,77900000,1999-11-10
5220100,SpongeBob SquarePants: The Movie,Adventure,30000000,56634646,2004-11-19
5230100,Brother Bear,Adventure,0,165061521,2003-10-24
5250100,Rocky 2,Action,0,115000000,1979-06-15
5260100,Aliens,Action,17000000,98140516,1986-07-18
5270100,Open Season,Adventure,85000000,106826899,2006-09-29
5280100,Cinderella,Musical,2900000,178591415,1950-02-15
5300100,The Santa Clause 3: The Escape Clause,Adventure,0,23000000,2006-11-03
5320100,Scooby-Doo 2: Monsters Unleashed,Adventure,25000000,96671609,2004-03-26
