"movie_odid","display_name","franchise"
"34650100","Strictly Ballroom","The Red Curtain Trilogy"
"35900100","What the #$'! Do We Know","What the Bleep"
"36510100","Universal Soldier II: The Return","Universal Soldier"
"37200100","Godzilla 2000","Godzilla"
"37290100","Bratz","Bratz"
"37570100","King Kong","King Kong"
"37970100","Belly","Belly"
"38370100","Hable con ella","Viva Pedro Box"
"38390100","Fierce Creatures","A Fish Called Wanda"
"38580100","Street Fighter: The Legend of Chun-Li","Street Fighter"
"38630100","Superbabies: Baby Geniuses 2","Baby Geniuses"
"38640100","Fantasia 2000 (Theatrical Release)","Fantasia"
"39260100","Mad Max","Mad Max"
"39970100","Todo sobre mi madre","Viva Pedro Box"
"40290100","Punisher: War Zone","Punisher"
"41060100","The Collector","The Collector"
"41240100","Cidade de Deus","City of God"
"41590100","The Condemned","The Condemned"
"42500100","Buena Vista Social Club","Buena Vista Social Club"
"44090100","Il buono, il brutto, il cattivo","Dollar Trilogy"
"44180100","Megiddo: Omega Code 2","Omega Code"
"44610100","Les Boys II","Les Boys"
"44650100","Basic Instinct 2","Basic Instinct"
"44680100","Evil Dead II","Evil Dead"
"44710100","Highlander","Highlander"
"44960100","Before Sunset","Before Sunrise"
"45410100","Batman: Mask of the Phantasm","Batman"
"45530100","Water","Fire Earth Water"
"45930100","Before Sunrise","Before Sunrise"
"46050100","La mala educación","Viva Pedro Box"
"46270100","Dawn of the Dead","George A. Romero's Dead Series"
"46890100","Paris, je t'aime","Cities of Love"
"47080100","In the Name of the King: A Dungeon Siege Tale","In The Name of the King"
"47460100","Les Boys","Les Boys"
"47610100","Ong-Bak","Ong-Bak"
"47630100","The Tigger Movie","Winnie the Pooh"
"48380100","Goal! The Dream Begins","Goal"
"48430100","Van Wilder Deux: The Rise of Taj","Van Wilder"
"48430100","Van Wilder Deux: The Rise of Taj","National Lampoon"
"48500100","Left Behind","Left Behind"
"49000100","Trois couleurs: Rouge","Trois Couleurs"
"49030100","Belle de Jour","Belle de Jour"
"49090100","Ladron que roba a ladron","Ladron que roba a ladron"
"49400100","Spider-Man/Men in Black II Double-Bill","Spider-Man"
"49400100","Spider-Man/Men in Black II Double-Bill","Men in Black"
"49630100","Trailer Park Boys: The Movie","Trailer Park Boys"
"49670100","Benji: Off the Leash!","Benji"
"49860100","Nitro","Nitro"
"50450100","Cruising Bar 2","Cruising Bar"
