"movie_odid","display_name","release_odid","release_name","video_release_date","type","distributor"
"171550100","The Pruitt-Igoe Myth","65060119","The Pruitt-Igoe Myth","2012-05-15","Regular","First Run Home"
"171560100","Surviving Progress","71570119","Surviving Progress","2012-09-25","Regular","First Run Home"
"171580100","Pink Ribbons, Inc.","71560119","Pink Ribbons, Inc.","2012-09-25","Regular","First Run Home"
"171600100","Poupoupidou","72760119","Nobody Else But You","2012-10-16","Regular","First Run Home"
"171680100","Jayne Mansfield's Car","88640119","Jayne Mansfield's Car","2013-12-10","Regular","Anchor Bay Home Entertainment"
"171700100","They’re Out of Business","74080119","They’re Out of Business","2012-11-20","Regular","Lorber Films Video"
"171740100","The Lorax","61200119","The Lorax","2012-02-14","Regular","Warner Home Video"
"171800100","The Endless Summer","61370119","The Endless Summer","2011-01-11","Regular","Monterey Video"
"171840100","Domaine","63870119","Domaine","2012-04-17","Regular","Strand Home"
"171970100","Virginia","69690119","Virginia","2012-08-21","Regular","eOne"
"171990100","The Decoy Bride","67020119","The Decoy Bride","2012-06-26","Regular","Mpi Home Video"
"172000100","Brake","68270119","Brake","2012-07-24","Regular","Mpi Home Video"
"172010100","Sound of My Voice","68120119","The Sound of My Voice","2012-10-02","Regular","Fox Home Entertainment"
"172250100","L!fe Happens","70150119","Life Happens","2012-08-28","Regular","Universal Home Entertainment"
"172290100","A Charlie Brown Christmas","61900119","A Charlie Brown Christmas","2009-10-06","Regular","Warner Home Video"
"172300100","Django","61930119","Django","2010-05-25","Regular","Blue Underground"
"172350100","The Words","75800119","The Words","2012-12-24","Regular","Sony Pictures Home Entertainment"
"172360100","Grown Ups 2","87460119","Grown Ups 2","2013-11-05","Regular","Sony Pictures Home Entertainment"
"172370100","Escape From Planet Earth","81860119","Escape From Planet Earth","2013-06-03","Regular","Anchor Bay Home Entertainment"
"172430100","To the Arctic 3D","76940119","To the Arctic 3D","2013-03-26","Regular","Warner Home Video"
"172460100","Cowgirls 'n Angels","69580119","Cowgirls N' Angels","2012-10-02","Regular","Fox Home Entertainment"
"172520100","Mai wei","65820119","My Way","2012-06-24","Regular","Well Go USA Video"
"172570100","Neil Young Journeys","72710119","Neil Young Journeys","2012-10-16","Regular","Sony Pictures Home Entertainment"
"172590100","28 Hotel Rooms","77640119","28 Hotel Rooms","2013-02-12","Regular","Oscilloscope Video"
"172630100","Trouble with the Curve","73340119","Trouble with the Curve","2012-12-18","Regular","Warner Home Video"
"172640100","The Hangover 3","86570119","The Hangover 3","2013-10-08","Regular","Warner Home Video"
"172670100","Marley","68100119","Marley","2012-08-07","Regular","Magnolia Home Entertainment"
"172690100","Sid & Nancy","158790119","Sid & Nancy","2011-12-27","Regular","MGM Video"
"172700100","Une vie de chat","72310119","A Cat in Paris","2012-10-09","Regular","New Video Group"
"172730100","5 Broken Cameras","78680119","5 Broken Cameras","2013-01-15","Regular","Kino Video"
"172740100","The Little Death","62250119","The Little Death","2012-02-21","Regular","Kino Video"
"172770100","Emergo","70160119","Apartment 143","2012-08-28","Regular","Magnolia Home Entertainment"
"172820100","Lola Versus","67990119","Lola Versus","2012-09-11","Regular","Fox Home Entertainment"
"172850100","The Magic of Belle Isle","71170119","The Magic of Belle Isle","2012-09-18","Regular","Magnolia Home Entertainment"
"172860100","The Samaritan","74280119","The Samaritan","2012-09-25","Regular","Mpi Home Video"
"173000100","Iron Sky","71940119","Iron Sky","2012-10-02","Regular","eOne"
"173010100","Alex Cross","77320119","Alex Cross","2013-02-05","Regular","Lionsgate Home Entertainment"
"173030100","Impardonnables","74720119","Impardonnables","2012-12-04","Regular","Strand Home"
"173060100","Transformers: Age of Extinction","99840119","Transformers: Age of Extinction","2014-09-30","Regular","Paramount Home Video"
"173080100","Chernobyl Diaries","68990119","Chernobyl Diaries","2012-10-16","Regular","Warner Home Video"
"173120100","Freelancers","69660119","Freelancers","2012-08-21","Regular","Lionsgate Home Entertainment"
"173200100","Hyde Park on Hudson","79660119","Hyde Park on Hudson","2013-04-09","Regular","Universal Home Entertainment"
"173220100","Beautiful Creatures","81200119","Beautiful Creatures","2013-05-21","Regular","Warner Home Video"
"173240100","LEGO Star Wars: The Padawan Menace","62630119","LEGO Star Wars: The Padawan Menace","2012-02-07","Regular","Fox Home Entertainment"
"173250100","Blue Like Jazz","69020119","Blue Like Jazz","2012-08-07","Regular","Lionsgate Home Entertainment"
"173260100","Beasts of the Southern Wild","72250119","Beasts of the Southern Wild","2012-12-04","Regular","Fox Home Entertainment"
"173320100","Art is...The Permanent Revolution","69390119","Art is The Permanent Revolution","2012-08-14","Regular","First Run Home"
"173340100","LOL","68760119","LOL","2012-07-31","Regular","Lionsgate Home Entertainment"
"173350100","Safety Not Guaranteed","73350119","Safety Not Guaranteed","2012-10-30","Regular","Sony Pictures Home Entertainment"
"173390100","The SpongeBob Movie: Sponge Out of Water","110050119","The SpongeBob Movie: Sponge Out of Water","2015-06-02","Regular","Paramount Home Video"
"173410100","The Dead","62700119","The Dead","2012-02-14","Regular","Anchor Bay Home Entertainment"
"173420100","For a Good Time, Call","76700119","For a Good Time, Call","2013-01-22","Special Edition","Universal Home Entertainment"
"173660100","End of Watch","74390119","End of Watch","2013-01-22","Regular","Universal Home Entertainment"
"173670100","Cirque du Soleil: Worlds Away","78630119","Cirque du Soleil: Worlds Away","2013-03-12","Regular","Paramount Home Video"
"173690100","Better Than Something: Jay Reatard","72630119","Better Than Something: Jay Reatard","2012-12-18","Regular","Factory 25"
"173700100","Barbie in a Mermaid Tale 2","62810119","Barbie in a Mermaid Tale 2","2012-03-06","Regular","Universal Home Entertainment"
"173840100","The Do-Deca-Pentathlon","69250119","The Do Deca Pentathlon","2012-09-18","Regular","Fox Home Entertainment"
"173850100","The Loved Ones","70920119","The Loved Ones","2012-09-11","Regular","Paramount Home Video"
"173860100","Identity Thief","81850119","Identity Thief","2013-06-04","Regular","Universal Home Entertainment"
"173870100","Cloudy with a Chance of Meatballs 2","90280119","Cloudy with a Chance of Meatballs 2","2014-01-28","Regular","Sony Pictures Home Entertainment"
"173970100","Unstable","131280119","Unstable","2016-06-14","Regular","Hybrid Media LLC"
"173980100","The Perfect Family","67070119","The Perfect Family","2012-06-26","Regular","Virgil Films and Entertainment"
"174000100","Samsara","75930119","Samsara","2013-01-08","Regular","Mpi Home Video"
"174050100","Oslo, 31 August","71250119","Oslo, August 31","2012-09-18","Regular","Strand Home"
"174070100","[Rec] 3: Genesis","73690119","[REC] 3: Genesis","2012-11-06","Regular","Sony Pictures Home Entertainment"
"174080100","Seven Psychopaths","76990119","Seven Psychopaths","2013-01-29","Regular","Sony Pictures Home Entertainment"
"174090100","Gambit","94930119","Gambit","2014-05-27","Regular","Sony Pictures Home Entertainment"
"174150100","Tai Chi Zero","74530119","Tai Chi Zeron","2013-01-22","Regular","Well Go USA Video"
"174160100","Hit So Hard","65880119","Hit so Hard","2012-06-05","Regular","Well Go USA Video"
"174210100","Chained","72000119","Chained","2012-10-02","Regular","Anchor Bay Home Entertainment"
"174220100","For Greater Glory: The True Story of Cristiada","69980119","For Greater Glory","2012-09-11","Regular","ARC Entertainment Video"
"174240100","Love Birds","66290119","Love Birds","2012-06-19","Regular","Freestyle Digital Media"
"174280100","Take Me Home","65550119","Take Me Home","2012-05-29","Regular","Monterey Video"
"174290100","Hello I Must Be Going","77080119","Hello I Must Be Going","2013-01-29","Regular","Oscilloscope Video"
"174300100","A Lonely Place to Die","63070119","A Lonely Place to Die","2012-03-20","Regular","Mpi Home Video"
"174390100","Marina Abramovic: The Artist Is Present","72740119","Marina Abramovic The Artist Is Present","2012-10-16","Regular","Music Box Films Video"
"174400100","The Queen of Versailles","73960119","The Queen of Versailles","2012-11-13","Regular","Magnolia Home Entertainment"
"174410100","Ai Weiwei: Never Sorry","74680119","Ai Weiwei Never Sorry","2012-12-04","Regular","Mpi Home Video"
"174430100","300: Rise of an Empire","95800119","300: Rise of an Empire","2014-06-24","Regular","Warner Home Video"
"174480100","The Long Day Closes","90420119","The Long Day Closes","2014-01-28","Regular","Criterion"
"174560100","Superman vs. The Elite","66440119","Superman vs. the Elite","2012-06-12","Regular","Warner Home Video"
"174660100","Katy Perry: Part of Me","71160119","Katy Perry: Part of Me","2012-09-18","Regular","Paramount Home Video"
"174670100","The Master","76570119","The Master","2013-02-26","Regular","Anchor Bay Home Entertainment"
"174690100","Mansome","75070119","Mansome","2012-12-11","Regular","Mpi Home Video"
"174720100","Batoru rowaiaru","63370119","Battle Royale","2012-03-20","Regular","Anchor Bay Home Entertainment"
"174740100","Searching for Sugar Man","76660119","Searching for Sugar Man","2013-01-22","Regular","Sony Pictures Home Entertainment"
"174750100","West of Memphis","84330119","West of Memphis","2013-08-12","Regular","Sony Pictures Home Entertainment"
"174760100","Smashed","78640119","Smashed","2013-03-12","Regular","Sony Pictures Home Entertainment"
"174770100","De rouille et d’os","78940119","Rust and Bone","2013-03-19","Regular","Sony Pictures Home Entertainment"
"174780100","China Heavyweight","76340119","China Heavyweight","2013-01-15","Regular","Zeitgeist Home"
"174800100","The Collection","79090119","The Collection","2013-03-26","Regular","Lionsgate Home Entertainment"
"174860100","To the Wonder","81710119","To the Wonder","2013-08-06","Regular","Magnolia Home Entertainment"
"174890100","Captain America: The Winter Soldier","98690119","Captain America: The Winter Soldier","2014-09-09","Regular","Buena Vista Home Entertainment"
"174940100","Paul Williams Still Alive","77360119","Paul Williams Still Alive","2013-02-05","Regular","Virgil Films and Entertainment"
"174950100","Compliance","75440119","Compliance","2013-01-08","Regular","Magnolia Home Entertainment"
"174960100","Killing Them Softly","79080119","Killing Them Softly","2013-03-26","Regular","Anchor Bay Home Entertainment"
"174970100","Battle of the Year","88590119","Battle of the Year","2013-12-10","Regular","Sony Pictures Home Entertainment"
"174990100","Crooked Arrows","69590119","Crooked Arrows","2012-10-23","Regular","Fox Home Entertainment"
"175000100","Quill: The Life of a Guide Dog","67570119","Quill: The Life of a Guide Dog","2012-07-10","Regular","Music Box Films Video"
"175010100","A Fantastic Fear of Everything","152090119","A Fantastic Fear of Everything","2017-05-09","Regular","Shout Factory"
"175120100","Meine Familie, die Nazis und Ich","79440119","Hitler's Children","2013-04-02","Regular","Film Movement Video"
"175180100","Le Voyage dans la Lune","63650119","A Trip to the Moon","2012-04-10","Regular","Flicker Alley"
"175190100","Get the Gringo","65720119","Get the Gringo","2012-07-17","Regular","Fox Home Entertainment"
"175200100","Ganja & Hess","63760119","Ganja and Hess","1998-07-22","Regular","Kino Video"
"175230100","Tyler Perry's Madea's Witness Protection","72970119","Tyler Perry's Madeas Witness Protection","2012-10-23","Regular","Lionsgate Home Entertainment"
"175240100","The Pact","73650119","The Pact","2012-11-06","Regular","Mpi Home Video"
"175250100","Les adieux à la reine","76290119","Farewell My Queen","2013-01-15","Regular","eOne"
"175270100","The Babymakers","69600119","The Babymakers","2012-09-18","Regular","Alchemy"
"175280100","Klovn: The Movie","101020119","Klovn: The Movie","2012-09-25","Regular","Image Entertainment Video"
"175290100","The Awakening","77020119","The Awakening","2013-01-29","Regular","Universal Home Entertainment"
"175300100","Why Stop Now","75050119","Why Stop Now","2012-12-11","Regular","Mpi Home Video"
"175310100","Side by Side","77350119","Side by Side","2013-02-05","Regular","Fox Home Entertainment"
"175320100","V/H/S","74660119","V/H/S","2012-12-04","Regular","Magnolia Home Entertainment"
"175330100","21 and Over","80310119","21 and Over","2013-06-18","Regular","Fox Home Entertainment"
"175340100","The Mortal Instruments: City of Bones","90270119","The Mortal Instruments: City of Bones","2013-12-03","Regular","Sony Pictures Home Entertainment"
"175350100","Noah","94900119","Noah","2014-07-29","Regular","Paramount Home Video"
"175390100","Ballplayer: Pelotero","70480119","Ballplayer Pelotero","2012-09-04","Regular","Strand Home"
"175540100","Harold and Maude","63900119","Harold and Maude","2012-04-17","Regular","Criterion"
"175610100","Sleepwalk With Me","75510119","Sleepwalk With Me","2012-12-18","Regular","Mpi Home Video"
"175620100","Silent Hill: Revelation 3D","77570119","Silent Hill: Revelation 3D","2013-02-12","Regular","Universal Home Entertainment"
"175640100","Carrie","88380119","Carrie","2014-01-14","Regular","Sony Pictures Home Entertainment"
"175660100","The Lego Movie","93180119","The Lego Movie","2014-06-17","Regular","Warner Home Video"
"175670100","42","83320119","42","2013-07-16","Regular","Warner Bros / Paramount"
"175690100","Andrew Lloyd Webber's Love Never Dies","64100119","Andrew Lloyd Webber's Love Never Dies","2012-05-29","Regular","Universal Home Entertainment"
"175700100","Coco","167930119","Coco","2018-02-13","Online Only","Walt Disney Home Entertainment"
"175770100","Red Hook Summer","75570119","Red Hook Summer","2012-12-18","Regular","Image Entertainment Video"
"175850100","Elena","116800119","Elena","2015-08-18","Regular","Zeitgeist Home"
"175870100","This is the End","86340119","This is the End","2013-10-01","Regular","Sony Pictures Home Entertainment"
"175870100","This is the End","90550119","This Is the End/Pineapple Express 2-Pack","2013-10-01","Repackaging","Sony Pictures Home Entertainment"
"175890100","Die drei Räuber","136600119","The Trick or Treaters","2016-09-06","Regular","Anchor Bay Home Entertainment"
"175990100","Robot & Frank","77580119","Robot & Frank","2013-02-12","Regular","Universal Home Entertainment"
"176070100","Long men fei jia","71990119","Flying Swords of Dragon Gate","2012-10-02","Regular","Indomina Releasing"
"176090100","The Invisible War","78710119","The Invisible War","2012-10-23","Regular","New Video Group"
"176100100","The Imposter","80080119","The Imposter","2013-01-22","Regular","Indomina Releasing"
"176110100","Alpeis","74190119","Alps","2012-12-04","Regular","Kino Video"
"176120100","Yellow Submarine","64670119","Yellow Submarine","2012-06-05","Regular","EMI Distribution"
"176130100","Liberal Arts","79610119","Liberal Arts","2012-12-18","Regular","Mpi Home Video"
"176140100","How to Survive a Plague","78120119","How to Survive a Plague","2013-02-26","Regular","Mpi Home Video"
"176180100","White House Down","87450119","White House Down","2013-11-05","Regular","Sony Pictures Home Entertainment"
"176190100","Ruby Sparks","70830119","Ruby Sparks","2012-10-30","Regular","Fox Home Entertainment"
"176210100","Battlefield America","71520119","Battlefield America","2012-09-18","Regular","ARC Entertainment Video"
"176220100","Beverly Hills Chihuahua 3","71210119","Beverly Hills Chihuahua 3","2012-09-18","Regular","Buena Vista Home Entertainment"
"176240100","The Forger","67260119","The Forger","2012-07-03","Regular","Experience"
"176370100","Flight","77310119","Flight","2013-02-05","Regular","Paramount Home Video"
"176420100","Hit & Run","75940119","Hit & Run","2013-01-08","Regular","Universal Home Entertainment"
"176430100","Batman: The Dark Knight Returns, Part 1","68600119","Batman: The Dark Knight Returns Part 1","2012-09-25","Regular","Warner Home Video"
"176500100","6 Bullets","70900119","6 Bullets","2012-09-11","Regular","Sony Pictures Home Entertainment"
"176580100","Bachelorette","76530119","Bachelorette","2013-03-19","Regular","Anchor Bay Home Entertainment"
"176590100","Paranoia","86180119","Paranoia","2013-11-19","Regular","Fox Home Entertainment"
"176600100","Ouwehoeren","79370119","Ouwehoeren","2013-04-02","Regular","Kino Video"
"176610100","Spring Breakers","83060119","Spring Breakers","2013-07-09","Regular","Lionsgate Home Entertainment"
"176700100","Mac & Devin Go To High School","67270119","Mac & Devin Go to High School","2012-07-03","Regular","Anchor Bay Home Entertainment"
"176710100","Snitch","81480119","Snitch","2013-06-11","Regular","Summit Home Video"
"176720100","The Internship","84790119","The Internship","2013-10-22","Regular","Fox Home Entertainment"
"176740100","Da-reun na-ra-e-suh","79630119","Da-reun na-ra-e-suh","2013-04-09","Regular","Kino Video"
"176760100","Mimi wo sumaseba","65370119","Whisper of the Heary","2006-03-07","Regular","Buena Vista Home Entertainment"
"176820100","Ichimei","76740119","Hara-Kiri: Death of a Samurai","2013-01-22","Regular","New Video Group"
"176830100","Pitch Perfect","75480119","Pitch Perfect","2012-12-18","Regular","Universal Home Entertainment"
"176870100","The Day","71920119","The Day","2012-11-27","Regular","Anchor Bay Home Entertainment"
"176920100","Sommaren med Monika","65580119","Summer with Monika","2012-05-29","Regular","Criterion"
"176940100","The Heat","85650119","The Heat","2013-10-15","Regular","Fox Home Entertainment"
"176950100","Dawn of the Planet of the Apes","102700119","Dawn of the Planet of the Apes","2014-12-02","Regular","Fox Home Entertainment"
"176960100","X-Men: Days of Future Past","100680119","X-Men: Days of Future Past","2014-10-14","Regular","Fox Home Entertainment"
"176980100","One Direction: This is Us","88800119","One Direction: This is Us","2013-12-17","Regular","Sony Pictures Home Entertainment"
"177030100","Amour","84670119","Amour","2013-08-20","Regular","Sony Pictures Home Entertainment"
"177040100","Jack Reacher","80680119","Jack Reacher","2013-05-07","Regular","Paramount Home Video"
"177080100","2016: Obama’s America","72670119","2016: Obama’s America","2012-10-16","Regular","Lionsgate Home Entertainment"
"177140100","Stolen","75950119","Stolen","2013-01-08","Regular","Alchemy"
"177280100","Tabu","86290119","Tabu","2013-10-29","Regular","Kino Video"
"177290100","Deadfall","79050119","Deadfall","2013-02-05","Regular","Magnolia Home Entertainment"
"177340100","Starship Troopers: Invasion","70210119","Starship Troopers: Invasion","2012-08-28","Regular","Sony Pictures Home Entertainment"
"177450100","Sushi: The Global Catch","83770119","Sushi: The Global Catch","2013-08-06","Regular","Alive Mind"
"177500100","Lovelace","87470119","Lovelace","2013-11-05","Regular","Anchor Bay Home Entertainment"
"177560100","The Paperboy","76670119","The Paperboy","2013-01-22","Regular","Alchemy"
"177620100","Dead Man Down","83100119","Dead Man Down","2013-07-09","Regular","Sony Pictures Home Entertainment"
"177640100","Brooklyn Brothers Beat the Best","76040119","Brooklyn Brothers Beat the Best","2013-01-08","Regular","Oscilloscope Video"
"177720100","Tyler Perry's Aunt Bam's Place - The Play","66970119","Tyler Perry's Aunt Bam's Place - The Play","2012-06-12","Regular","Lionsgate Home Entertainment"
"177770100","Bait 3D","71190119","Bait 3D","2012-09-18","Regular","Anchor Bay Home Entertainment"
"177790100","A Christmas Story 2","68980119","A Christmas Story 2","2012-10-30","Regular","Warner Home Video"
"177800100","The East","85930119","The East","2013-09-17","Regular","Fox Home Entertainment"
"177820100","Nobody Walks","76770119","Nobody Walks","2013-01-23","Regular","Magnolia Home Entertainment"
"177910100","Mon pire cauchemar","77390119","My Worst Nightmare","2013-02-05","Regular","Strand Home"
"177970100","Atlas Shrugged: Part II","75740119","Atlas Shrugged II: The Strike","2013-02-19","Regular","Warner Home Video"
"177990100","Disconnect","85940119","Disconnect","2013-09-17","Regular","Lionsgate Home Entertainment"
"178050100","Hong men yan","67220119","White Vengeance","2012-09-04","Regular","Well Go USA Video"
"178090100","Least Among Saints","82940119","Least Among Saints","2013-07-02","Regular","Vertical Entertainment"
"178100100","Nitro Circus: The Movie 3D","73990119","Nitro Circus: The Movie 3D","2012-11-13","Regular","ARC Entertainment Video"
"178110100","Secret of the Wings","72980119","Secret of the Wings","2012-10-23","Regular","Walt Disney Home Entertainment"
"178290100","The Hunger Games: Mockingjay - Part 1","106850119","The Hunger Games: Mockingjay - Part 1","2015-02-17","Online Only","Lionsgate Home Entertainment"
"178300100","The Hunger Games: Mockingjay - Part 2","126640119","The Hunger Games: Mockingjay - Part 2","2016-03-08","Online Only","Lionsgate Home Entertainment"
"178310100","Barbara","86940119","Barbara","2013-11-12","Regular","Adopt Films"
"178320100","Filly Brown","83800119","Filly Brown","2013-07-30","Regular","Gaiam Vivendi"
"178370100","Nature Calls","76760119","Nature Calls","2013-01-22","Regular","Magnolia Home Entertainment"
"178440100","Detropia","76300119","Detropia","2013-01-15","Regular","Docurama Video"
"178520100","Backwards","73910119","Backwards","2012-12-11","Regular","Phase 4 Films Video"
"178540100","Need for Speed","99750119","Need for Speed","2014-08-05","Regular","Walt Disney Home Entertainment"
"178610100","The Revisionaries","80420119","The Revisionaries","2013-04-30","Regular","Kino Video"
"178660100","Wake in Fright","76470119","Wake in Fright","2013-01-15","Regular","Image Entertainment Video"
"178860100","The Indian","31850119","The Indian","2009-11-24","Regular","E1 Entertainment"
"179020100","Runner Runner","89150119","Runner Runner","2014-01-07","Regular","Fox Home Entertainment"
"179060100","Dino Time","113090119","Back to the Jurassic","2015-05-26","Online Only","Alchemy"
"179140100","En kongelig affære","79100119","A Royal Affair","2013-03-26","Regular","Magnolia Home Entertainment"
"179180100","Don't Stop Believin': Everyman's Journey","84710119","Don't Stop Believin': Everyman's Journey","2013-08-20","Regular","Docurama Video"
"179190100","Shut Up and Play the Hits","72290119","Shut Up and Play the Hits","2012-10-09","Regular","Oscilloscope Video"
"179200100","A Place at the Table","78690119","A Place at the Table","2013-03-01","Regular","Magnolia Home Entertainment"
"179210100","The Hobbit: The Battle of the Five Armies","107350119","The Hobbit: The Battle of the Five Armies","2015-03-24","Regular","Warner Home Video"
"179290100","Hua Pi 2","71390119","Painted Skin: The Resurrection","2012-11-13","Regular","Well Go USA Video"
"179310100","About Cherry","76310119","About Cherry","2013-01-15","Regular","Mpi Home Video"
"179380100","Na pude","77370119","Toys in the Attic","2013-02-05","Regular","Hannover House Video"
"179460100","All is Lost","90910119","All is Lost","2014-02-11","Regular","Lionsgate Home Entertainment"
"179480100","Jesse Stone: Benefit of the Doubt","69040119","Jesse Stone: Benefit of the Doubt","2012-08-07","Regular","Sony Pictures Home Entertainment"
"179490100","Avengers: Age of Ultron","116640119","The Avengers: Age of Ultron","2015-09-08","Online Only","Walt Disney Home Entertainment"
"179510100","The Family","87190119","The Family","2013-12-17","Regular","Fox Home Entertainment"
"179520100","Out of the Furnace","91960119","Out of the Furnace","2014-03-11","Regular","Fox Home Entertainment"
"179540100","Max et les ferrailleurs","225430119","Max and the Junkmen","2020-02-25","Regular","Kino Lorber"
"179580100","La Grande Illusion","68840119","La Grance Illusion","2012-07-31","Regular","Lionsgate Home Entertainment"
"179590100","Atmen","76580119","Atmen","2013-01-22","Regular","Kino Video"
"179610100","Rush","90290119","Rush","2014-01-28","Regular","Universal Home Entertainment"
"179670100","Girl Model","77630119","Girl Model","2013-02-12","Regular","First Run Home"
"179710100","Le fils de l'autre","78960119","The Other Son","2013-03-19","Regular","eOne"
"179730100","The Conjuring","87020119","The Conjuring","2013-10-22","Regular","Warner Home Video"
"179760100","Citadel","77070119","Citadel","2013-01-29","Regular","New Video Group"
"179780100","About Time","90600119","About Time","2014-02-04","Regular","Universal Home Entertainment"
"179790100","2 Guns","86170119","2 Guns","2013-11-19","Regular","Universal Home Entertainment"
"179970100","Silent Night","74650119","Silent Night","2012-12-04","Regular","Starz / Anchor Bay"
"180020100","Erased","81690119","Erased","2013-04-02","Regular","Radius"
"180050100","Last Ounce of Courage","74690119","Last Ounce of Courage","2012-12-04","Regular","Momo"
"180070100","Mud","83570119","Mud","2013-08-06","Regular","Lionsgate Home Entertainment"
"180080100","The Reef 2: High Tide","73380119","Reef 2: High Tide","2012-10-30","Regular","ARC Entertainment Video"
"180090100","Resident Evil: Damnation","71530119","Resident Evil: Damnation","2012-09-25","Regular","Sony Pictures Home Entertainment"
"180140100","Juan de los Muertos","69330119","Juan of the Dead","2012-08-14","Regular","eOne"
"180160100","The Gruffalos Child","69350119","The Gruffalos Child","2012-08-14","Regular","nCircle"
"180200100","Violeta se fue a los cielos","85690119","Violeta se fue a los cielos","2013-09-03","Regular","Kino Video"
"180210100","Inescapable","82960119","Inescapable","2013-07-02","Regular","Mpi Home Video"
"180220100","Et si on vivait tous ensemble?","78890119","Et si on vivait tous ensemble?","2013-03-19","Regular","Kino Video"
"180270100","Home","113480119","Home","2015-06-23","Online Only","Dreamworks Animated Video"
"180320100","At Any Price","84960119","At Any Price","2013-08-27","Regular","Sony Pictures Home Entertainment"
"180330100","Den skaldede frisør","85720119","Den skaldede frisør","2013-09-10","Regular","Sony Pictures Home Entertainment"
"180340100","No","81470119","No","2013-06-25","Regular","Sony Pictures Home Entertainment"
"180360100","Stories We Tell","85390119","Stories We Tell","2013-09-03","Regular","Lionsgate Home Entertainment"
"180370100","Jagten","88600119","Jagten","2013-12-10","Regular","Magnolia Home Entertainment"
"180400100","The Gatekeepers","81490119","The Gatekeepers","2013-07-09","Regular","Sony Pictures Home Entertainment"
"180410100","Ernest et Celestine","95590119","Ernest & Celestine","2014-06-17","Regular","Cinedigm/New Video"
"180470100","Girls Against Boys","78150119","Girls Against Boys","2013-02-26","Regular","Anchor Bay Home Entertainment"
"180480100","A Glimpse Inside the Mind of Charles Swan III","80970119","A Glimpse Inside the Mind of Charles Swan III","2013-05-14","Regular","Lionsgate Home Entertainment"
"180490100","Pusher","82650119","Pusher","2013-06-25","Regular","Anchor Bay Home Entertainment"
"180500100","Santa Paws 2: The Santa Pups","74210119","Santa Paws 2: The Santa Pups","2012-11-20","Regular","Buena Vista Home Entertainment"
"180520100","Stand Up Guys","81240119","Stand Up Guys","2013-05-21","Regular","Lionsgate Home Entertainment"
"180550100","John Dies at the End","79420119","John Dies at the End","2013-04-02","Regular","Magnolia Home Entertainment"
"180590100","Divergent","97140119","Divergent","2014-08-05","Regular","Lionsgate/Summit"
"180600100","Elephant White","57330119","Elephant White","2011-05-17","","Alchemy"
"180630100","Minions","121410119","Minions","2015-11-24","","Universal Home Entertainment"
"180680100","Mientras duermes","75990119","Sleep Tight","2013-01-08","Regular","Mpi Home Video"
"180710100","Jack Ryan: Shadow Recruit","93200119","Jack Ryan: Shadow Recruit","2014-06-10","Regular","Paramount Home Video"
"180860100","Wish You Were Here","85730119","Wish You Were Here","2013-09-10","Regular","eOne"
"180870100","The To Do List","87980119","The To Do List","2013-11-19","Regular","Sony Pictures Home Entertainment"
"180880100","Radio Unnameable","85510119","Radio Unnameable","2013-09-10","Regular","Kino Video"
"180900100","The First Time ","81720119","The First Time ","2013-03-12","Regular","Sony Pictures Home Entertainment"
"180940100","Legendary Amazons","70450119","Legendary Amazons","2012-10-16","Regular","Well Go USA Video"
"181150100","Lay the Favorite","78380119","Lay the Favorite","2013-03-05","Regular","Anchor Bay Home Entertainment"
"181210100","Orchestra of Exiles","79700119","Orchestra of Exiles","2013-04-14","Regular","First Run Home"
"181280100","Storm Surfers 3D","84100119","Storm Surfers 3D","2013-08-06","Regular","Xlrator"
"181290100","The Place Beyond the Pines","84030119","The Place Beyond the Pines","2013-08-06","Regular","Universal Home Entertainment"
"181330100","Penguins of Madagascar","105420119","Penguins of Madagascar","2015-02-10","Online Only","Fox Home Entertainment"
"181340100","Trolls","143510119","Trolls","2017-01-24","Online Only","Fox Home Entertainment"
"181360100","Kung Fu Panda 3","129360119","Kung Fu Panda 3","2016-05-13","Online Only","Dreamworks Animated Video"
"181370100","How to Train Your Dragon: The Hidden World","201920119","How to Train Your Dragon: The Hidden World","2019-04-30","Online Only","Universal Home Entertainment"
"181390100","Grave Encounters 2","78670119","Grave Encounters 2","2013-03-12","Regular","New Video Group"
"181410100","Last Vegas","90300119","Last Vegas","2013-01-28","Regular","Sony Pictures Home Entertainment"
"181430100","Barbie: The Princess & The Popstar","70960119","Barbie: The Princess and The Popstar","2012-09-11","Regular","Universal Home Entertainment"
"181500100","Bai she chuan shuo","79680119","Bai she chuan shuo","2013-04-09","Regular","Magnolia Home Entertainment"
"181510100","Waiting for Lightning","78410119","Waiting for Lightning","2013-03-05","Regular","First Run Home"
"181540100","Elefante blanco","79510119","Elefante blanco","2013-04-02","Regular","Strand Home"
"181560100","Le Quai des brumes","213640119","Port of Shadows","2019-08-13","Regular","Kino Lorber"
"181590100","Godzilla","99000119","Godzilla","2014-09-16","Regular","Warner Home Video"
"181610100","The Reluctant Fundamentalist","84930119","The Reluctant Fundamentalist","2013-08-27","Regular","Mpi Home Video"
"181630100","How to Make Money Selling Drugs","89700119","How to Make Money Selling Drugs","2014-01-14","Regular","New Video Group"
"181640100","Casting By","99100119","Casting By","2014-09-16","Regular","First Run Home"
"181710100","Syngue sabour, pierre de patience","92050119","Syngue sabour","2014-03-11","Regular","Sony Pictures Home Entertainment"
